zip,total,grand_total,pct_total
21120,19602.23,40722.229999999996,51.86356444624963
21122,33814.73,54936.73,38.44786538987668
21123,281,21404,98.68716127826575
21127,61,21188,99.71210118935247
21128,7233.1,28361.1,74.49640528752411
21130,10,21140,99.9526963103122
21131,30505.57,51636.57,40.922547721508224
21132,5315.54,26447.54,79.90157118582674
21133,22103.65,43236.65,48.87751479358368
21134,26,21160,99.87712665406427
21135,20,21155,99.90545970219806
21136,52960.24,74096.23999999999,28.525064159800824
21139,2115.97,23254.97,90.90099879724634
21140,4726.27,25866.27,81.72805742768477
21141,110,21251,99.48237729989177
21143,25,21168,99.88189720332578
21144,35828.15,56972.15,37.11287006019608
21145,3772.63,24917.63,84.85959539490715
21146,70244.53,91390.53,23.138064742594228
21147,84,21231,99.60435212660732
21150,209,21359,99.02148977012033
21152,11330.96,32482.96,65.11721838157607
21153,9738.41,30891.41,68.47534638269993
21154,2182.7,23336.7,90.64692094426375
21155,3240.2,24395.2,86.71787892700203
21156,140,21296,99.34259954921112
21157,32402.09,53559.09,39.50216480526462
21158,22464.46,43622.46,48.50253745432972
2116,110,2226,95.05840071877807
21160,1060.9,22220.9,95.22566592712266
21161,6702.56,27863.56,75.94506947425239
21162,1595.2,22757.2,92.99035030671612
21163,30176.28,51339.28,41.22184806643179
21167,3,21170,99.98582900330658
21174,117,21291,99.4504720304354
21200,130,21330,99.3905297702766
21201,82719.03,103920.03,20.40126431834171
21202,45354.85,66556.85,31.85547392943025
21203,411.5,21614.5,98.09618543107636
21204,117834.82,139038.82,15.250417113724065
21205,2978.94,24183.94,87.68215600931859
21206,16673.48,37879.479999999996,55.98281708196629
21207,34070.12,55277.12,38.36487863332966
21208,137641.51,158849.51,13.351001208628215
21209,130606.97,151815.97,13.970203529971187
21210,260565.02,281775.02,7.527281871899078
21211,74976.25,96187.25,22.051779211901785
21212,242068.99,263280.99,8.056791339169608
21213,16141.18,37354.18,56.78882523990622
21214,32376.71,53590.71,39.58521915458854
21215,29343.13,50558.130000000005,41.96159944997965
21216,9890.39,31106.39,68.20463576776348
21217,58129.64,79346.64,26.73963257927494
21218,233353.34,254571.34,8.334795267998354
21219,3516.2,24735.2,85.78463080953459
21220,9782.31,31002.309999999998,68.44651253406602
21221,6303.52,27524.52,77.0985288753446
21222,11690.12,32912.12,64.48080524742859
21223,3205.8,24428.8,86.87696489389573
21224,56778.43,78002.43,27.20940873252282
21225,4071.32,25296.32,83.90548506660257
21226,3032.2,24258.2,87.50030917380515
21227,11353.08,32580.08,65.15330840194376
21228,103301,124529,17.046631708276788
21229,23745.39,44974.39,47.2024189766665
21230,116684.92,137914.91999999998,15.393548428262877
21231,51431.23,72662.23000000001,29.218756429578335
21232,328,21560,98.4786641929499
21234,61279.74,82513.73999999999,25.733895954782803
21235,16.5,21251.5,99.92235842175846
21236,14840.77,36076.770000000004,58.863362767786576
21237,11458.52,32695.52,64.95385300493768
21238,95,21333,99.55468054188347
21239,24702.59,45941.59,46.23044174135027
21240,25,21265,99.88243592758053
21243,2,21245,99.99058602024006
21244,20889.98,42133.979999999996,50.420112222961144
21245,27.5,21272.5,99.87072511458456
21246,25,21271,99.8824690893705
21248,27.5,21275.5,99.87074334328217
21250,2000,23250,91.39784946236558
21251,74.7,21325.7,99.6497184148703
21252,100,21352,99.53165979767704
21257,57.08,21314.08,99.73219580671555
21258,45,21303,99.7887621461766
21282,1787.5,23069.5,92.25167428856282
21283,25,21308,99.8826731743946
21284,1263.5,22547.5,94.39627453154452
21285,279.1,21564.1,98.70571922779064
21286,49783.92,71069.92,29.950786493076116
21287,175,21462,99.18460534898891
21292,45,21337,99.78909874865258
21293,25,21318,99.88272821090159
21296,101,21397,99.52797121091741
21297,50,21347,99.76577505035836
2130,45,2175,97.93103448275862
21301,100,21401,99.5327321153217
21302,190,21492,99.11595012097524
21304,64,21368,99.70048670909772
21306,126,21432,99.41209406494961
21307,70,21377,99.67254525892314
21308,31,21339,99.85472608838278
21309,5.5,21314.5,99.97419596987966
21310,21.5,21331.5,99.89921008836697
21313,3,21316,99.98592606492775
21317,15,21332,99.92968310519407
21318,188,21506,99.12582535106482
21328,60,21388,99.71946886104358
21330,60,21390,99.71949509116409
21334,25,21359,99.88295332178473
21336,20,21356,99.90634950365236
21344,67,21411,99.68707673625707
21401,258681.51,280082.51,7.64096265775396
21402,1472.22,22874.22,93.56384611147396
21403,188658.41,210061.41,10.188925229055638
21404,270.6,21674.6,98.75153405368496
21405,11636.96,33041.96,64.78126600238001
21408,49,21457,99.77163629584751
21409,67478.85,88887.85,24.085406498188448
21412,10,21422,99.95331901783213
21422,44.5,21466.5,99.79270025388396
21428,40,21468,99.81367616918205
21491,15,21506,99.93025202269135
21493,50,21543,99.76790604836839
21498,150,21648,99.3070953436807
21501,115,21616,99.4679866765359
